"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"UBS",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"01",34,34,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,30,34,30,29,34,34,33,33,33,33,33,31,32,31,28,29,25,19,29,28,29
"02",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"03",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"04",28,27,28,28,28,27,27,28,28,27,28,28,28,28,28,28,28,28,26,28,28,28,28,27,28,28,28,25,28,27,28,27,25,28,26,27,23,28,24,23,28,28,27,27,27,28,27,28,27,26,23,23,19,16,25,22,24
"05",34,33,34,34,27,34,33,34,34,34,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,29
"019",34,33,34,34,27,33,34,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,32,34,33,34,33,31,34,32,31,29,34,30,30,34,34,33,33,33,33,34,31,32,31,28,28,24,19,29,28,30
"032",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"037",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"038",34,33,34,34,27,34,33,34,34,34,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,29
"f-1",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"f-13",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"28",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"33",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"157",30,29,30,30,28,29,29,30,30,29,30,30,30,30,30,30,30,30,28,30,30,30,30,29,30,30,30,27,30,29,30,29,27,30,28,28,25,30,26,25,30,30,29,29,29,30,29,28,28,27,24,24,20,17,26,24,25
"180",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"205",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"565",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"579",33,32,33,33,26,32,32,33,33,32,33,33,33,33,28,33,33,33,33,33,33,33,33,32,33,32,33,30,33,32,33,33,31,33,31,30,28,33,29,28,33,33,32,32,32,32,32,30,31,30,27,27,23,19,28,27,29
"597",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"700",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"892",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"1006",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"1010",34,33,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,34,34,33,34,32,34,33,34,33,31,34,32,31,29,34,30,30,34,34,33,33,33,33,33,31,32,31,28,28,24,20,29,28,29
"1071",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"1241",34,33,34,34,28,33,33,34,34,33,34,34,34,34,30,34,34,34,32,34,34,34,34,33,34,34,34,31,34,33,34,33,31,34,32,32,29,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,29
"1243",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"1292",32,31,32,32,25,31,32,32,32,31,32,32,32,32,27,32,32,32,30,32,32,32,32,32,32,31,32,32,32,31,32,31,29,32,30,29,27,32,28,29,32,32,31,31,31,31,32,29,30,29,26,26,22,19,27,26,28
"1342",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"1424",34,33,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,34,34,33,32,34,32,32,30,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,29
"1505",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"2427",34,33,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,33,34,34,34,34,33,34,33,34,31,34,33,34,34,32,34,32,31,29,34,30,29,34,34,33,33,33,33,33,31,32,31,28,28,24,19,29,28,30
"Byz",32,31,32,32,25,31,31,32,32,31,32,32,32,32,27,32,32,32,31,32,32,32,32,31,32,31,32,29,32,32,32,32,32,32,30,30,28,32,28,27,32,32,31,31,31,31,31,29,30,29,27,26,22,18,27,26,28
"07",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"09",33,32,33,33,26,32,32,33,33,32,33,33,33,33,28,33,33,33,31,33,33,33,33,32,33,32,33,30,33,32,33,32,30,33,33,30,29,33,30,28,33,33,32,32,32,32,32,30,31,30,28,28,24,19,28,27,28
"011",32,31,32,32,27,31,31,32,32,31,32,32,32,32,28,32,32,32,30,32,32,32,32,31,32,32,32,29,32,32,32,31,30,32,30,32,28,32,28,27,32,32,31,31,31,31,31,30,31,29,26,26,22,17,27,26,27
"013",30,30,30,30,23,29,29,30,30,29,30,30,30,30,25,30,30,30,28,30,30,30,30,29,30,29,30,27,30,30,30,29,28,30,29,28,30,30,26,25,30,30,29,29,29,29,29,27,28,27,24,25,21,16,25,24,25
"042",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"Lect",31,30,31,31,24,30,30,31,31,30,31,31,31,31,26,31,31,31,29,31,31,31,31,30,31,30,31,28,31,30,31,30,28,31,30,28,26,31,31,28,31,31,30,30,30,30,30,28,29,28,27,27,25,20,27,25,26
"it-a",30,29,30,30,23,29,30,30,30,29,30,30,30,30,25,30,30,30,28,30,30,30,30,30,30,29,30,29,30,29,30,29,27,30,28,27,25,30,28,30,30,30,30,29,29,29,30,27,28,27,24,24,23,19,27,25,26
"it-aur",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"it-b",35,34,35,35,28,34,34,35,35,34,35,35,35,35,30,35,35,35,33,35,35,35,35,34,35,34,35,32,35,34,35,34,32,35,33,32,30,35,31,30,35,35,34,34,34,34,34,32,33,32,29,29,25,20,30,29,30
"it-c",34,33,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,30,34,34,34,33,33,33,33,31,32,31,28,28,25,20,30,29,29
"it-d",34,33,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,34,33,33,33,31,32,31,28,28,24,19,29,28,30
"it-f",34,33,34,34,27,33,33,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,33,34,33,33,31,32,31,29,29,24,19,30,29,29
"it-ff-2",34,33,34,34,28,33,33,34,34,33,34,34,34,34,30,34,34,34,32,34,34,34,34,33,34,33,34,31,34,33,34,33,31,34,32,31,29,34,30,29,34,34,33,33,33,34,33,31,32,31,28,28,24,20,29,28,29
"it-l",34,33,34,34,27,33,34,34,34,33,34,34,34,34,29,34,34,34,32,34,34,34,34,33,34,33,34,32,34,33,34,33,31,34,32,31,29,34,30,30,34,34,33,33,33,33,34,31,32,31,28,28,24,19,29,28,30
"it-q",32,31,32,32,28,31,31,32,32,31,32,32,32,32,28,32,32,32,30,32,32,32,32,31,32,31,32,29,32,31,32,31,29,32,30,30,27,32,28,27,32,32,31,31,31,31,31,32,31,30,27,27,23,19,28,26,28
"it-r-1",33,32,33,33,27,32,32,33,33,32,33,33,33,33,28,33,33,33,31,33,33,33,33,32,33,32,33,30,33,32,33,32,30,33,31,31,28,33,29,28,33,33,32,32,32,32,32,31,33,30,27,27,24,18,28,28,28
"vg",32,31,32,32,26,31,31,32,32,31,32,32,32,32,27,32,32,32,30,32,32,32,32,31,32,31,32,29,32,31,32,31,29,32,30,29,27,32,28,27,32,32,31,31,31,31,31,30,30,32,28,28,23,18,28,26,28
"syr-p",29,28,29,29,23,28,28,29,29,28,29,29,29,29,24,29,29,29,27,29,29,29,29,28,29,28,29,26,29,28,29,28,27,29,28,26,24,29,27,24,29,29,28,28,29,28,28,27,27,28,29,28,22,18,26,24,25
"syr-h",29,29,29,29,23,28,28,29,29,28,29,29,29,29,24,29,29,29,27,29,29,29,29,28,29,28,29,26,29,28,29,28,26,29,28,26,25,29,27,24,29,29,28,28,29,28,28,27,27,28,28,29,23,17,26,24,25
"cop-sa",25,25,25,25,19,24,24,25,25,24,25,25,25,25,20,25,25,25,23,25,25,25,25,24,25,24,25,22,25,24,25,24,22,25,24,22,21,25,25,23,25,25,25,24,24,24,24,23,24,23,22,23,25,18,23,22,21
"cop-bo",20,19,20,20,16,19,19,20,20,19,20,20,20,20,17,20,20,20,19,20,20,20,20,20,20,19,20,19,20,19,20,19,18,20,19,17,16,20,20,19,20,20,20,19,19,20,19,19,18,18,18,17,18,20,18,16,16
"arm",30,29,30,30,25,29,29,30,30,29,30,30,30,30,26,30,30,30,28,30,30,30,30,29,30,29,30,27,30,29,30,29,27,30,28,27,25,30,27,27,30,30,30,29,30,29,29,28,28,28,26,26,23,18,30,26,26
"eth",29,28,29,29,22,28,28,29,29,28,29,29,29,29,24,29,29,29,27,29,29,29,29,28,29,28,29,26,29,28,29,28,26,29,27,26,24,29,25,25,29,29,29,28,29,28,28,26,28,26,24,24,22,16,26,29,24
"slav",30,29,30,30,24,29,30,30,30,29,30,30,30,30,25,30,30,30,29,30,30,30,30,29,30,29,30,28,30,29,30,30,28,30,28,27,25,30,26,26,30,30,29,30,29,29,30,28,28,28,25,25,21,16,26,24,30
